Member_number,Date,itemDescription
2869,10-12-2015,beef
3737,05-05-2015,whole milk
2978,09-05-2015,sausage
1444,14-10-2015,hamburger meat
4753,08-11-2015,other vegetables
4569,27-07-2015,sausage
3304,30-11-2015,root vegetables
3757,04-02-2015,other vegetables
3737,06-12-2015,frankfurter
3682,05-03-2015,soda
1332,02-12-2015,root vegetables
4284,14-10-2015,pip fruit
1183,29-06-2015,root vegetables
3077,29-05-2015,canned beer
1158,17-10-2015,rolls/buns
3472,30-04-2015,frankfurter
1328,24-03-2015,sausage
3398,18-01-2015,brown bread
2352,05-05-2015,sausage
4258,18-07-2015,frankfurter
4120,17-01-2015,sausage
2816,30-09-2015,chicken
1711,26-02-2015,chicken
3967,21-01-2015,butter
3459,05-08-2015,canned beer
2796,19-05-2015,curd
2978,27-06-2015,whole milk
1695,04-02-2015,meat
3686,06-01-2015,whole milk
3410,16-01-2015,whole milk
2300,05-08-2015,frankfurter
1364,31-07-2015,soda
3496,22-09-2015,rolls/buns
3290,29-05-2015,sausage
1782,01-08-2015,coffee
1230,06-04-2015,whole milk
1658,15-06-2015,beef
4528,13-10-2015,whole milk
2386,05-12-2015,canned beer
2829,29-10-2015,pip fruit
4034,29-08-2015,frankfurter
4223,20-07-2015,root vegetables
2068,07-04-2015,sausage
1306,08-01-2015,yogurt
3061,10-02-2015,rolls/buns
3528,19-05-2015,sausage
4566,10-03-2015,canned beer
2693,17-08-2015,frankfurter
1440,06-12-2015,sausage
1420,19-06-2015,canned beer
4593,04-08-2015,margarine
3216,12-02-2015,whole milk
4594,02-05-2015,whipped/sour cream
2138,04-03-2015,pip fruit
2307,12-03-2015,whole milk
1812,14-10-2015,hamburger meat
2378,15-04-2015,whipped/sour cream
3419,20-08-2015,onions
3369,23-03-2015,frozen vegetables
2191,25-10-2015,pip fruit
3857,04-11-2015,other vegetables
1960,09-01-2015,chicken
3729,29-11-2015,salty snack
2627,31-10-2015,rolls/buns
3786,10-02-2015,light bulbs
4753,05-03-2015,soups
2613,23-08-2015,other vegetables
1444,06-06-2015,butter
4294,08-01-2015,other vegetables
3904,11-05-2015,sausage
3546,22-11-2015,whole milk
3797,23-08-2015,root vegetables
1289,08-11-2015,other vegetables
2164,08-10-2015,misc. beverages
4546,09-04-2015,beef
1182,29-11-2015,hamburger meat
3735,27-04-2015,berries
4790,15-08-2015,pasta
4724,12-02-2015,sausage
1341,30-10-2015,frankfurter
3061,05-11-2015,soda
2267,07-01-2015,whole milk
2663,10-09-2015,chicken
3663,28-06-2015,whole milk
3170,03-12-2015,other vegetables
4856,03-01-2015,beverages
2601,30-04-2015,beef
1027,25-02-2015,rolls/buns
2672,26-11-2015,frankfurter
2403,01-12-2015,whipped/sour cream
1739,31-05-2015,sausage
1331,29-11-2015,other vegetables
3653,09-11-2015,frankfurter
3686,29-08-2015,other vegetables
1551,21-07-2015,dessert
3564,04-07-2015,pip fruit
2467,05-07-2015,whole milk
3402,16-08-2015,whole milk
2492,10-11-2015,root vegetables
2352,31-01-2015,dessert
3609,23-02-2015,sausage
4999,18-02-2015,berries
2993,05-05-2015,long life bakery product
2550,23-12-2015,chicken
2549,24-08-2015,sausage
1276,26-03-2015,hard cheese
4822,26-02-2015,brown bread
3058,27-07-2015,sausage
2436,17-02-2015,butter
1125,27-08-2015,sausage
4274,23-01-2015,soda
2710,14-10-2015,frankfurter
2535,20-03-2015,rolls/buns
3649,21-06-2015,dishes
4321,12-09-2015,sausage
3897,01-02-2015,soda
4333,01-07-2015,misc. beverages
1248,15-12-2015,frankfurter
2370,12-09-2015,whole milk
3571,07-07-2015,coffee
1449,27-05-2015,whole milk
1697,29-05-2015,root vegetables
4109,24-08-2015,dessert
3410,31-05-2015,yogurt
3438,04-01-2015,sausage
2919,30-06-2015,pip fruit
1195,04-11-2015,finished products
4850,15-07-2015,other vegetables
1926,29-05-2015,yogurt
4034,13-11-2015,whole milk
1033,15-06-2015,chicken
3737,12-12-2015,sausage
1114,26-04-2015,chicken
1582,08-07-2015,sausage
2535,17-10-2015,canned beer
3813,18-01-2015,whole milk
3778,13-03-2015,soda
3280,14-04-2015,beef
4078,18-04-2015,berries
3544,10-03-2015,whole milk
3601,20-12-2015,rolls/buns
3082,10-04-2015,root vegetables
4273,22-01-2015,rolls/buns
4868,02-05-2015,onions
3410,03-07-2015,other vegetables
2073,18-06-2015,frankfurter
1361,12-07-2015,sausage
3491,26-10-2015,sausage
4002,30-04-2015,sausage
4861,28-03-2015,brown bread
1742,27-11-2015,other vegetables
3209,25-01-2015,canned beer
4500,08-06-2015,whole milk
4542,18-01-2015,whipped/sour cream
2547,06-04-2015,frankfurter
4706,07-08-2015,frozen meals
1015,22-03-2015,salty snack
4089,04-10-2015,sausage
4120,13-03-2015,rolls/buns
2551,06-06-2015,pot plants
4407,19-02-2015,berries
1479,15-05-2015,sausage
4439,21-08-2015,rolls/buns
3333,22-02-2015,beverages
4486,06-11-2015,berries
1989,09-09-2015,soda
4809,28-09-2015,whole milk
1190,27-10-2015,sparkling wine
2467,07-10-2015,curd
1490,04-10-2015,whole milk
4440,11-04-2015,chicken
2140,30-12-2015,sausage
3544,04-04-2015,canned beer
1832,23-04-2015,berries
1035,23-05-2015,sausage
1903,10-03-2015,canned beer
4949,18-08-2015,frozen fish
4634,26-02-2015,pip fruit
3542,16-06-2015,whole milk
1666,15-04-2015,sausage
4893,01-03-2015,berries
2489,22-12-2015,whipped/sour cream
4044,01-12-2015,frankfurter
2926,29-10-2015,oil
4340,26-01-2015,soda
3280,13-07-2015,whole milk
4629,24-02-2015,canned vegetables
2941,26-09-2015,other vegetables
2862,08-08-2015,misc. beverages
2083,19-06-2015,sausage
2527,20-01-2015,canned beer
2327,06-07-2015,chicken
4195,04-05-2015,salty snack
1620,20-08-2015,chicken
3843,04-09-2015,sausage
1539,07-04-2015,frankfurter
1584,31-01-2015,pet care
2556,28-08-2015,newspapers
2466,28-08-2015,sausage
3498,31-03-2015,other vegetables
4027,29-06-2015,whipped/sour cream
4389,17-12-2015,misc. beverages
3566,14-12-2015,sausage
4853,04-10-2015,frankfurter
4385,17-11-2015,frankfurter
4158,11-11-2015,root vegetables
1238,01-03-2015,frankfurter
1780,12-07-2015,curd
1265,19-01-2015,hamburger meat
2601,27-06-2015,other vegetables
4518,20-07-2015,yogurt
4114,07-08-2015,frankfurter
1097,25-09-2015,frankfurter
3763,27-06-2015,beef
2047,20-12-2015,pip fruit
2667,16-06-2015,frankfurter
1376,30-06-2015,sausage
1301,07-01-2015,sausage
1699,07-07-2015,canned vegetables
3258,20-05-2015,other vegetables
4262,25-04-2015,whole milk
4566,30-08-2015,whipped/sour cream
3868,19-08-2015,beef
3215,24-04-2015,frankfurter
4618,16-12-2015,frankfurter
4120,11-12-2015,whole milk
3215,21-07-2015,whipped/sour cream
3741,14-06-2015,root vegetables
2070,28-06-2015,sausage
1064,25-07-2015,long life bakery product
1699,25-09-2015,onions
2669,29-03-2015,frankfurter
1497,18-04-2015,sausage
4223,07-10-2015,sliced cheese
1421,23-02-2015,frankfurter
1073,03-12-2015,finished products
3390,21-02-2015,abrasive cleaner
1186,26-04-2015,other vegetables
3338,17-08-2015,soda
1319,18-08-2015,pip fruit
2370,06-05-2015,curd
4288,26-05-2015,berries
3215,31-01-2015,sausage
2492,11-05-2015,beef
3294,10-04-2015,dessert
3469,20-05-2015,soda
4092,29-03-2015,whole milk
4810,15-08-2015,chicken
3500,31-01-2015,brown bread
4954,24-09-2015,soda
4804,14-07-2015,whole milk
1893,11-01-2015,yogurt
3461,26-06-2015,yogurt
4719,28-12-2015,other vegetables
3797,16-09-2015,whole milk
2636,19-05-2015,hamburger meat
3308,17-07-2015,rolls/buns
2792,24-10-2015,canned beer
4667,25-08-2015,rolls/buns
1636,05-12-2015,berries
4167,06-09-2015,frankfurter
2885,19-11-2015,chicken
4706,23-11-2015,sausage
3786,11-05-2015,curd
2240,01-12-2015,chicken
4235,25-09-2015,beef
3500,21-07-2015,pip fruit
3772,27-09-2015,meat
4976,17-07-2015,frankfurter
1420,14-01-2015,salty snack
4286,08-03-2015,whole milk
1905,21-02-2015,sausage
4272,06-06-2015,berries
1697,21-05-2015,rolls/buns
2978,05-06-2015,chicken
3023,28-07-2015,root vegetables
3552,16-06-2015,canned beer
4177,13-04-2015,whole milk
3860,05-05-2015,frozen vegetables
4875,12-05-2015,frankfurter
1587,01-07-2015,whole milk
1199,10-12-2015,canned vegetables
4851,20-12-2015,coffee
2560,17-05-2015,frankfurter
3645,12-12-2015,frankfurter
2932,20-03-2015,whole milk
1711,18-06-2015,whole milk
4291,08-12-2015,root vegetables
3058,18-05-2015,chicken
1971,18-09-2015,curd
4092,30-09-2015,sausage
3987,19-08-2015,whole milk
4166,06-11-2015,canned beer
1092,16-05-2015,soda
4078,14-11-2015,beef
2789,06-02-2015,curd
4397,27-06-2015,onions
3653,21-10-2015,whole milk
4321,27-10-2015,pip fruit
1584,10-07-2015,long life bakery product
1567,11-04-2015,frankfurter
3072,28-02-2015,other vegetables
4321,08-05-2015,frankfurter
2742,10-10-2015,dessert
1026,15-03-2015,salty snack
2678,20-03-2015,finished products
4734,12-07-2015,whole milk
2010,06-11-2015,whole milk
1107,03-01-2015,chicken
4302,05-11-2015,frankfurter
1218,05-07-2015,sausage
4482,30-11-2015,whole milk
2602,11-12-2015,soups
2205,07-03-2015,whole milk
4832,03-12-2015,other vegetables
4166,26-07-2015,yogurt
4579,29-10-2015,misc. beverages
2392,23-03-2015,sausage
4218,03-10-2015,frankfurter
3071,21-01-2015,pip fruit
2768,01-01-2015,meat
4610,19-04-2015,hamburger meat
1479,14-05-2015,other vegetables
3528,18-08-2015,whole milk
2514,02-11-2015,rolls/buns
4790,16-05-2015,root vegetables
2601,26-03-2015,root vegetables
1353,09-02-2015,beef
1901,29-11-2015,rolls/buns
2792,29-07-2015,frankfurter
1757,15-06-2015,finished products
4598,18-11-2015,whole milk
1265,07-03-2015,pip fruit
1006,14-06-2015,frankfurter
1884,11-12-2015,chicken
2043,21-04-2015,other vegetables
2636,11-09-2015,finished products
3170,17-01-2015,roll products 
3469,10-05-2015,yogurt
2031,26-02-2015,frankfurter
1482,06-07-2015,whole milk
4760,02-04-2015,rolls/buns
1032,15-06-2015,soda
4466,20-08-2015,whole milk
1611,26-02-2015,frozen meals
4102,03-11-2015,hamburger meat
2452,11-08-2015,chicken
2829,19-12-2015,frankfurter
3980,16-09-2015,root vegetables
2164,24-11-2015,brown bread
4804,27-12-2015,other vegetables
4662,27-06-2015,pip fruit
3737,05-05-2015,yogurt
2978,09-05-2015,meat
4195,01-10-2015,other vegetables
1444,14-10-2015,whole milk
4753,08-11-2015,finished products
3304,30-11-2015,berries
4235,19-12-2015,berries
4821,28-11-2015,whole milk
4284,14-10-2015,sausage
4449,30-03-2015,frankfurter
1158,17-10-2015,other vegetables
2443,20-06-2015,pip fruit
3472,30-04-2015,mayonnaise
3547,28-11-2015,soda
3398,18-01-2015,rolls/buns
2960,31-08-2015,rolls/buns
1952,23-11-2015,onions
4790,16-05-2015,pip fruit
2601,26-03-2015,rolls/buns
3637,10-07-2015,whole milk
1901,29-11-2015,berries
3741,06-08-2015,whole milk
2792,29-07-2015,berries
3547,07-10-2015,butter
1757,15-06-2015,canned beer
2560,26-11-2015,pip fruit
2393,17-04-2015,yogurt
3500,21-04-2015,canned beer
4598,18-11-2015,root vegetables
1006,14-06-2015,chicken
2622,17-07-2015,hard cheese
1780,12-07-2015,beverages
1884,11-12-2015,rolls/buns
2636,11-09-2015,whole milk
4372,30-07-2015,other vegetables
3170,17-01-2015,root vegetables
1567,13-03-2015,rolls/buns
1482,06-07-2015,soda
4760,02-04-2015,butter
3164,30-09-2015,brown bread
1032,15-06-2015,butter
2081,22-01-2015,frankfurter
3414,23-10-2015,brown bread
2799,12-08-2015,hamburger meat
3481,22-03-2015,beef
2693,02-11-2015,beef
2058,24-02-2015,other vegetables
1324,27-12-2015,frankfurter
2664,20-09-2015,sausage
2309,29-12-2015,frozen meals
1073,08-06-2015,curd
3468,14-11-2015,canned beer
4359,24-09-2015,berries
1299,03-06-2015,whole milk
1785,15-07-2015,canned beer
1076,14-05-2015,chicken
4988,29-10-2015,rolls/buns
2262,04-10-2015,other vegetables
1155,01-04-2015,sausage
2916,13-06-2015,semi-finished bread
1609,17-12-2015,soda
2102,10-05-2015,soda
4640,31-01-2015,waffles
2083,28-03-2015,whole milk
1482,24-07-2015,sausage
3882,23-04-2015,whole milk
2370,28-08-2015,frozen fish
2326,29-11-2015,beverages
1443,09-10-2015,rolls/buns
3600,30-07-2015,meat
2677,23-12-2015,whole milk
1097,01-11-2015,whole milk
3766,07-05-2015,frankfurter
2521,03-03-2015,whole milk
2225,28-04-2015,rolls/buns
3486,23-12-2015,root vegetables
3082,20-02-2015,yogurt
1114,12-03-2015,sausage
1361,08-09-2015,beef
4579,09-01-2015,frankfurter
1177,14-10-2015,canned beer
2499,24-04-2015,butter
3296,06-06-2015,organic sausage
1754,17-09-2015,beverages
1218,29-12-2015,meat
4444,22-07-2015,rolls/buns
1627,11-02-2015,pip fruit
1461,21-12-2015,soda
4117,10-12-2015,organic sausage
1199,21-11-2015,whole milk
4467,22-11-2015,berries
1454,22-10-2015,beef
3586,02-05-2015,hamburger meat
3419,05-12-2015,dessert
3380,16-05-2015,pasta
1412,16-11-2015,frankfurter
2535,10-11-2015,whole milk
4853,17-09-2015,pip fruit
1026,28-05-2015,whipped/sour cream
4223,15-06-2015,white bread
2402,06-09-2015,soda
2471,13-08-2015,frozen vegetables
2563,03-06-2015,yogurt
1833,12-07-2015,yogurt
2708,17-02-2015,soda
3774,16-09-2015,misc. beverages
2721,10-08-2015,frankfurter
1214,10-01-2015,chicken
1911,02-06-2015,yogurt
3881,02-04-2015,frankfurter
1000,15-03-2015,whole milk
3472,28-02-2015,hamburger meat
4217,05-02-2015,sausage
2091,19-10-2015,brown bread
4187,28-10-2015,berries
1584,26-01-2015,soda
2070,24-03-2015,yogurt
2222,28-12-2015,sausage
2410,21-11-2015,berries
4759,20-02-2015,beef
2792,29-07-2015,whole milk
4486,09-11-2015,frozen vegetables
1757,15-06-2015,hamburger meat
2560,26-11-2015,soda
4598,18-11-2015,frankfurter
1265,07-03-2015,chicken
2622,17-07-2015,sausage
2636,11-09-2015,yogurt
1092,27-07-2015,sausage
3170,17-01-2015,chicken
3469,10-05-2015,frozen meals
1013,02-10-2015,meat
1726,02-11-2015,pip fruit
2119,24-09-2015,meat
1035,24-04-2015,yogurt
3710,22-08-2015,sausage
2816,19-06-2015,canned beer
1754,08-07-2015,curd
1421,07-08-2015,beverages
2672,17-01-2015,sausage
1204,11-04-2015,chicken
3323,09-12-2015,sausage
2916,13-06-2015,other vegetables
2386,03-01-2015,newspapers
3774,16-02-2015,chicken
3434,10-06-2015,butter
3438,27-12-2015,pip fruit
1140,01-05-2015,frankfurter
3071,26-03-2015,beef
1869,16-05-2015,sausage
1163,14-12-2015,beef
3745,09-12-2014,frankfurter
1748,14-08-2014,kitchen utensil
3438,11-06-2014,chicken
4594,28-05-2014,whole milk
4762,25-06-2014,pip fruit
3127,25-02-2014,hamburger meat
2138,13-05-2014,curd
2899,08-01-2014,frankfurter
2832,29-07-2014,sausage
4821,02-09-2014,rolls/buns
1033,21-04-2014,sausage
1185,14-08-2014,beef
4579,19-01-2014,whole milk
3649,07-11-2014,frankfurter
4464,27-07-2014,beverages
1935,30-06-2014,mayonnaise
4872,20-10-2014,yogurt
4753,11-10-2014,meat
4372,11-09-2014,whole milk
3645,22-08-2014,chicken
2078,14-05-2014,soda
4262,03-06-2014,frozen meals
4872,13-02-2014,newspapers
3071,18-04-2014,whole milk
3306,11-12-2014,soda
1658,09-08-2014,newspapers
2477,30-09-2014,pip fruit
1625,02-09-2014,meat
2472,01-02-2014,other vegetables
3529,26-08-2014,yogurt
3857,07-11-2014,frankfurter
1726,05-04-2014,root vegetables
1013,20-02-2014,whole milk
3673,11-08-2014,other vegetables
3790,31-07-2014,frankfurter
2515,27-01-2014,hamburger meat
1757,30-03-2014,yogurt
1773,28-10-2014,sausage
1468,02-10-2014,whole milk
3279,07-03-2014,frankfurter
1767,02-06-2014,frankfurter
2146,30-05-2014,sausage
1851,12-02-2014,curd
2789,02-11-2014,salty snack
1309,23-12-2014,dessert
4861,23-03-2014,hamburger meat
4527,16-03-2014,frankfurter
1432,18-02-2014,berries
4423,25-02-2014,pip fruit
3598,13-03-2014,other vegetables
3882,18-07-2014,beef
3625,17-10-2014,other vegetables
4021,31-10-2014,yogurt
1697,22-01-2014,sausage
4288,24-09-2014,soda
2181,29-04-2014,frankfurter
4274,31-03-2014,whole milk
1033,02-03-2014,frankfurter
2398,23-07-2014,yogurt
4963,03-03-2014,other vegetables
3282,28-08-2014,sausage
2602,03-01-2014,frankfurter
2556,06-03-2014,soda
4397,28-08-2014,root vegetables
2028,26-10-2014,canned beer
3102,09-05-2014,other vegetables
1782,10-04-2014,frozen vegetables
3493,01-12-2014,beef
3960,23-01-2014,baking powder
2786,30-08-2014,other vegetables
2550,11-06-2014,curd
3226,25-10-2014,rolls/buns
4980,25-08-2014,meat
1185,27-09-2014,frankfurter
1742,20-10-2014,frankfurter
4594,01-07-2014,other vegetables
1191,10-03-2014,berries
2452,18-02-2014,frankfurter
4955,22-03-2014,sausage
1392,12-09-2014,other vegetables
3206,24-08-2014,long life bakery product
2946,09-01-2014,onions
1376,29-11-2014,pip fruit
4622,12-06-2014,chicken
1816,09-01-2014,soda
3722,20-02-2014,sausage
4114,07-08-2014,chicken
1586,02-05-2014,pip fruit
4959,20-10-2014,pip fruit
3008,09-07-2014,butter
1820,24-02-2014,meat
3402,24-12-2014,roll products 
3967,20-02-2014,other vegetables
2028,29-10-2014,meat
3350,23-05-2014,rolls/buns
3872,28-07-2014,root vegetables
1824,08-08-2014,sausage
4195,09-09-2014,berries
4389,31-10-2014,frankfurter
1053,05-11-2014,chicken
4217,15-03-2014,other vegetables
1440,26-07-2014,rolls/buns
2112,06-06-2014,whole milk
3435,10-04-2014,coffee
1755,04-06-2014,waffles
3564,23-02-2014,brown bread
1672,26-01-2014,sausage
3248,07-04-2014,hamburger meat
2451,28-09-2014,other vegetables
2859,27-02-2014,brown bread
4109,03-06-2014,pet care
3102,17-04-2014,beef
4788,17-02-2014,other vegetables
1522,23-08-2014,newspapers
4262,21-06-2014,canned beer
4401,18-03-2014,sausage
4341,26-10-2014,whipped/sour cream
4215,10-04-2014,yogurt
1935,28-08-2014,pip fruit
4504,24-09-2014,sausage
1381,05-02-2014,coffee
1190,18-05-2014,pip fruit
3269,09-07-2014,sausage
1522,27-03-2014,sausage
1461,05-08-2014,other vegetables
3338,25-12-2014,pip fruit
2663,02-08-2014,other vegetables
2219,30-05-2014,root vegetables
1767,24-11-2014,sparkling wine
2549,27-12-2014,dessert
1289,09-05-2014,rolls/buns
4201,06-08-2014,flower (seeds)
1247,04-10-2014,frozen vegetables
3867,10-08-2014,chicken
4809,28-05-2014,chicken
3100,19-12-2014,canned beer
1879,15-08-2014,whole milk
4884,30-01-2014,other vegetables
3838,05-08-2014,whole milk
2274,11-04-2014,beef
3600,03-09-2014,frankfurter
2272,07-06-2014,frankfurter
3586,27-10-2014,rolls/buns
1280,20-03-2014,finished products
4853,24-12-2014,frozen meals
1064,03-09-2014,root vegetables
3486,27-01-2014,whole milk
3780,24-02-2014,rolls/buns
1450,17-11-2014,root vegetables
4851,08-11-2014,whole milk
3082,04-08-2014,frankfurter
4002,08-07-2014,curd
2504,24-04-2014,whole milk
1489,04-11-2014,sausage
3832,26-06-2014,rolls/buns
4120,22-09-2014,yogurt
4098,12-09-2014,berries
4622,18-05-2014,brown bread
1309,20-04-2014,sausage
2193,08-10-2014,onions
3552,29-10-2014,chocolate marshmallow
2929,24-09-2014,yogurt
2674,01-05-2014,root vegetables
4621,28-03-2014,chicken
4408,01-02-2014,pip fruit
4340,24-08-2014,other vegetables
2198,10-08-2014,chicken
4954,18-07-2014,frankfurter
1163,11-03-2014,sausage
2547,10-11-2014,sausage
1476,31-03-2014,margarine
3649,12-02-2014,beef
2330,05-11-2014,sausage
2695,04-08-2014,frozen meals
3177,18-10-2014,yogurt
1926,25-07-2014,frankfurter
1396,03-12-2014,sausage
2048,24-02-2014,semi-finished bread
1440,14-07-2014,whole milk
3992,15-11-2014,cream cheese 
1426,26-10-2014,root vegetables
4201,17-11-2014,soda
4868,14-06-2014,other vegetables
2331,28-12-2014,rolls/buns
1058,07-08-2014,yogurt
4201,12-09-2014,curd
1454,28-01-2014,brown bread
4546,20-03-2014,oil
4050,09-03-2014,beef
2742,02-06-2014,coffee
1587,13-09-2014,yogurt
2725,27-01-2014,hamburger meat
2048,30-10-2014,hamburger meat
3649,12-01-2014,pip fruit
2393,22-03-2014,sausage
4819,20-08-2014,whole milk
3103,26-02-2014,misc. beverages
3881,16-12-2014,frozen vegetables
3653,07-09-2014,other vegetables
3116,10-12-2014,whole milk
1893,22-07-2014,salt
2144,22-02-2014,beef
2319,05-11-2014,beef
4461,16-11-2014,newspapers
1587,26-12-2014,curd
1581,17-06-2014,meat
3647,15-05-2014,whole milk
2154,10-11-2014,soda
1424,04-04-2014,berries
1625,21-05-2014,sausage
2058,02-04-2014,rolls/buns
2010,06-01-2014,other vegetables
4662,20-05-2014,frozen meals
1248,09-05-2014,root vegetables
1299,23-02-2014,rolls/buns
4664,03-01-2014,beef
1181,23-10-2014,white bread
4302,14-07-2014,hard cheese
4067,13-01-2014,whole milk
2792,16-02-2014,mayonnaise
4246,28-06-2014,soda
1186,23-03-2014,white bread
2031,05-07-2014,other vegetables
4896,03-05-2014,red/blush wine
3103,10-12-2014,whole milk
4955,21-10-2014,other vegetables
1574,30-11-2014,whole milk
3064,14-06-2014,frozen vegetables
4800,29-12-2014,berries
3843,09-12-2014,misc. beverages
1061,17-03-2014,soda
2966,08-10-2014,other vegetables
1341,21-04-2014,honey
2447,26-07-2014,rolls/buns
4272,15-05-2014,margarine
1433,22-09-2014,salty snack
1748,27-07-2014,whipped/sour cream
1034,24-02-2014,pip fruit
3461,19-05-2014,soda
2402,29-09-2014,cream cheese 
1674,07-06-2014,detergent
4504,21-01-2014,misc. beverages
1522,24-12-2014,margarine
4896,05-03-2014,root vegetables
3727,13-07-2014,whole milk
4500,25-10-2014,curd
2279,03-01-2014,long life bakery product
4868,24-12-2014,root vegetables
3682,24-12-2014,other vegetables
1816,20-06-2014,red/blush wine
4272,14-08-2014,soda
1026,08-03-2014,sausage
3044,17-09-2014,soda
4251,14-11-2014,whole milk
2001,05-02-2014,root vegetables
4169,09-08-2014,root vegetables
3164,24-09-2014,meat
1891,05-07-2014,whole milk
2556,02-09-2014,beef
4007,05-10-2014,salt
3529,02-09-2014,curd
1361,13-12-2014,onions
4098,16-02-2014,other vegetables
4797,30-11-2014,canned beer
3427,16-10-2014,rolls/buns
4217,03-06-2014,root vegetables
4651,10-01-2014,rolls/buns
3348,18-01-2014,other vegetables
1265,01-02-2014,other vegetables
2701,12-03-2014,red/blush wine
2786,21-02-2014,semi-finished bread
2337,04-03-2014,canned beer
2653,06-06-2014,dessert
2994,30-04-2014,curd
2885,25-07-2014,whole milk
4932,29-03-2014,root vegetables
2055,31-05-2014,yogurt
3881,20-04-2014,whole milk
3380,23-02-2014,yogurt
3375,19-10-2014,whipped/sour cream
3376,07-01-2014,soda
3600,03-06-2014,whipped/sour cream
1107,15-05-2014,beef
4865,17-11-2014,berries
2122,05-07-2014,hamburger meat
2393,26-09-2014,cream cheese 
1831,29-07-2014,whole milk
1840,28-12-2014,misc. beverages
1574,25-04-2014,hamburger meat
3902,27-10-2014,rolls/buns
4524,17-04-2014,other vegetables
4753,31-08-2014,root vegetables
1782,30-08-2014,rolls/buns
4218,15-09-2014,hamburger meat
3116,12-06-2014,pot plants
2403,14-04-2014,rolls/buns
2693,14-02-2014,coffee
4569,24-12-2014,other vegetables
1468,05-02-2014,onions
3308,09-04-2014,whole milk
1236,27-06-2014,newspapers
2452,08-03-2014,margarine
1827,17-11-2014,onions
1825,07-01-2014,long life bakery product
1574,28-02-2014,butter
1809,27-10-2014,whole milk
4959,30-12-2014,root vegetables
1097,12-10-2014,whipped/sour cream
2515,01-09-2014,misc. beverages
1325,29-03-2014,rolls/buns
2663,20-01-2014,canned beer
2205,28-10-2014,hamburger meat
3021,29-10-2014,other vegetables
1797,26-07-2014,sausage
4235,18-10-2014,rolls/buns
2980,17-01-2014,other vegetables
1489,06-01-2014,vinegar
1432,18-09-2014,butter
4569,28-07-2014,hamburger meat
3493,26-03-2014,soda
2472,15-06-2014,yogurt
4804,17-09-2014,frozen meals
2978,27-08-2014,pasta
1809,02-01-2014,root vegetables
3387,09-05-2014,curd
3872,04-04-2014,yogurt
3832,12-01-2014,whole milk
1418,02-12-2014,cake bar
3369,18-07-2014,root vegetables
4868,04-04-2014,pot plants
1785,23-02-2014,other vegetables
4002,13-01-2014,seasonal products
2547,09-03-2014,pip fruit
3008,15-04-2014,root vegetables
4200,23-06-2014,hamburger meat
4770,15-05-2014,root vegetables
3287,13-05-2014,root vegetables
3758,02-01-2014,rolls/buns
3881,04-06-2014,beverages
1935,24-04-2014,other vegetables
3559,17-07-2014,rolls/buns
2499,20-07-2014,whipped/sour cream
1474,13-08-2014,meat
1522,07-01-2014,whole milk
4416,02-10-2014,other vegetables
4114,27-03-2014,root vegetables
3841,29-07-2014,vinegar
3323,06-03-2014,berries
1184,24-06-2014,beef
2921,04-03-2014,hard cheese
2993,23-10-2014,onions
1674,30-06-2014,chicken
4513,30-01-2014,dessert
3496,11-08-2014,misc. beverages
4819,23-04-2014,meat spreads
1660,15-06-2014,misc. beverages
4988,13-12-2014,misc. beverages
1212,25-05-2014,beef
3657,29-05-2014,butter
1100,20-02-2014,hamburger meat
3469,11-04-2014,whole milk
3294,01-03-2014,root vegetables
4632,18-09-2014,root vegetables
3857,30-12-2014,soda
1578,29-11-2014,frozen vegetables
1364,11-08-2014,other vegetables
4284,06-10-2014,soda
2457,09-07-2014,other vegetables
4809,21-06-2014,brown bread
4893,27-06-2014,curd
4770,22-02-2014,butter
4609,01-05-2014,beef
2026,07-01-2014,other vegetables
2901,09-08-2014,whipped/sour cream
4858,17-08-2014,other vegetables
3200,27-10-2014,yogurt
1714,22-01-2014,mustard
3786,02-04-2014,berries
3491,11-12-2014,rolls/buns
2919,14-01-2014,rolls/buns
1440,01-01-2014,other vegetables
1421,30-08-2014,pip fruit
1432,12-03-2014,frozen vegetables
1353,12-09-2014,rolls/buns
1220,16-11-2014,sausage
3649,23-09-2014,rolls/buns
1834,21-12-2014,berries
1578,26-03-2014,whole milk
1501,03-11-2014,whole milk
4822,02-07-2014,rolls/buns
1113,02-02-2014,curd
4542,05-12-2014,other vegetables
4467,11-01-2014,white bread
3146,07-02-2014,root vegetables
1266,27-08-2014,other vegetables
3427,05-06-2014,meat
4625,03-01-2014,white bread
2669,20-03-2014,white bread
1994,21-07-2014,soda
3184,10-09-2014,sliced cheese
3216,02-11-2014,other vegetables
4367,22-08-2014,rolls/buns
4635,02-02-2014,baking powder
3151,20-08-2014,meat
3010,11-05-2014,root vegetables
2047,12-05-2014,sausage
4649,05-09-2014,canned beer
3491,26-06-2014,root vegetables
3698,11-07-2014,root vegetables
4500,15-11-2014,rolls/buns
4212,12-05-2014,organic sausage
2661,14-12-2014,whole milk
1838,14-06-2014,other vegetables
3468,02-06-2014,whipped/sour cream
3778,27-04-2014,pip fruit
2701,16-08-2014,whole milk
3150,11-08-2014,hamburger meat
4078,27-09-2014,pip fruit
4066,24-01-2014,hamburger meat
1479,29-03-2014,pip fruit
3976,05-10-2014,other vegetables
3676,09-06-2014,whipped/sour cream
2946,20-09-2014,rolls/buns
